State/Territory,Sightings
CALIFORNIA,12507
FLORIDA,5857
WASHINGTON,5472
TEXAS,4678
NEW YORK,4344
ARIZONA,3672
PENNSYLVANIA,3555
ILLINOIS,3377
OHIO,3254
MICHIGAN,2761
NORTH CAROLINA,2660
OREGON,2588
COLORADO,2198
MISSOURI,2083
NEW JERSEY,2043
VIRGINIA,1918
GEORGIA,1909
MASSACHUSETTS,1904
INDIANA,1823
WISCONSIN,1810
TENNESSEE,1654
SOUTH CAROLINA,1595
MINNESOTA,1499
MARYLAND,1318
CONNECTICUT,1314
NEVADA,1252
KENTUCKY,1202
NEW MEXICO,1149
OKLAHOMA,1045
UTAH,1016
ALABAMA,973
IOWA,918
KANSAS,863
MAINE,863
LOUISIANA,858
ARKANSAS,853
IDAHO,851
NEW HAMPSHIRE,795
MONTANA,724
WEST VIRGINIA,677
MISSISSIPPI,575
NEBRASKA,517
ALASKA,506
HAWAII,493
RHODE ISLAND,435
VERMONT,435
WYOMING,285
DELAWARE,284
SOUTH DAKOTA,281
NORTH DAKOTA,187
PUERTO RICO,37
VIRGIN ISLANDS,2
